#SampleID	COMMON_NAME	DESCRIPTION	KeyHand	DigitHand	Hand	Individual
M2Akey217.141030	keyboard	Akey	Left	NA	Left	M2
M2Bkey217.141063	keyboard	Bkey	Ambiguous	NA	Ambiguous	M2
M2Ckey217.141092	keyboard	Ckey	Left	NA	Left	M2
M2Dkey217.140994	keyboard	Dkey	Left	NA	Left	M2
M2Ekey217.141011	keyboard	Ekey	Left	NA	Left	M2
M2Enter217.141012	keyboard	Ente	Right	NA	Right	M2
M2Fkey217.141078	keyboard	Fkey	Left	NA	Left	M2
M2Gkey217.141106	keyboard	Gkey	Left	NA	Left	M2
M2Hkey217.141026	keyboard	Hkey	Right	NA	Right	M2
M2Ikey217.141000	keyboard	Ikey	Right	NA	Right	M2
M2Indl217.141074	human_skin	finger_tip	NA	Left	Left	M2
M2Indr217.141062	human_skin	finger_tip	NA	Right	Right	M2
M2Jkey217.141038	keyboard	Jkey	Right	NA	Right	M2
M2Kkey217.141041	keyboard	Kkey	Right	NA	Right	M2
M2Lkey217.141048	keyboard	Lkey	Right	NA	Right	M2
M2Lsft217.141056	keyboard	Left_shift	Left	NA	Left	M2
M2Midl217.141009	human_skin	finger_tip	NA	Left	Left	M2
M2Midr217.141082	human_skin	finger_tip	NA	Right	Right	M2
M2Mkey217.141014	keyboard	Mkey	Right	NA	Right	M2
M2Nkey217.141052	keyboard	Nkey	Right	NA	Right	M2
M2Okey217.141061	keyboard	Okey	Right	NA	Right	M2
M2Pinl217.141003	human_skin	finger_tip	NA	Left	Left	M2
M2Pinr217.141039	human_skin	finger_tip	NA	Right	Right	M2
M2Pkey217.141105	keyboard	Pkey	Right	NA	Right	M2
M2Qkey217.141102	keyboard	Qkey	Left	NA	Left	M2
M2Rinl217.141058	human_skin	finger_tip	NA	Left	Left	M2
M2Rinr217.141027	human_skin	finger_tip	NA	Right	Right	M2
M2Rkey217.141050	keyboard	Rkey	Left	NA	Left	M2
M2Rsft217.141034	keyboard	Right_shift	Right	NA	Right	M2
M2Skey217.141089	keyboard	Skey	Left	NA	Left	M2
M2Space217.140997	keyboard	Space_bar	Ambiguous	NA	Ambiguous	M2
M2Thml217.141005	human_skin	finger_tip	NA	Left	Left	M2
M2Thmr217.141087	human_skin	finger_tip	NA	Right	Right	M2
M2Tkey217.141054	keyboard	Tkey	Left	NA	Left	M2
M2Ukey217.141085	keyboard	Ukey	Right	NA	Right	M2
M2Vkey217.141022	keyboard	Vkey	Left	NA	Left	M2
M2Wkey217.141070	keyboard	Wkey	Left	NA	Left	M2
M2Xkey217.141016	keyboard	Xkey	Left	NA	Left	M2
M2Ykey217.141095	keyboard	Ykey	Right	NA	Right	M2
M2Zkey217.141015	keyboard	Zkey	Left	NA	Left	M2
M3Akey217.141006	keyboard	Akey	Left	NA	Left	M3
M3Bkey217.141059	keyboard	Bkey	Ambiguous	NA	Ambiguous	M3
M3Ckey217.141073	keyboard	Ckey	Left	NA	Left	M3
M3Ekey217.141042	keyboard	Ekey	Left	NA	Left	M3
M3Gkey217.141037	keyboard	Gkey	Left	NA	Left	M3
M3Hkey217.141093	keyboard	Hkey	Right	NA	Right	M3
M3Indl217.141067	human_skin	finger_tip	NA	Left	Left	M3
M3Indr217.140993	human_skin	finger_tip	NA	Right	Right	M3
M3Jkey217.141017	keyboard	Jkey	Right	NA	Right	M3
M3Kkey217.141046	keyboard	Kkey	Right	NA	Right	M3
M3Lkey217.141097	keyboard	Lkey	Right	NA	Right	M3
M3Lsft217.141088	keyboard	Left_Shift	Left	NA	Left	M3
M3Midl217.141103	human_skin	finger_tip	NA	Left	Left	M3
M3Midr217.141101	human_skin	finger_tip	NA	Right	Right	M3
M3Mkey217.141107	keyboard	Mkey	Right	NA	Right	M3
M3Nkey217.141001	keyboard	Nkey	Right	NA	Right	M3
M3Pinl217.141094	human_skin	finger_tip	NA	Left	Left	M3
M3Pinr217.141057	human_skin	finger_tip	NA	Right	Right	M3
M3Pkey217.141031	keyboard	Pkey	Right	NA	Right	M3
M3Qkey217.141051	keyboard	Qkey	Left	NA	Left	M3
M3Rinl217.141100	human_skin	finger_tip	NA	Left	Left	M3
M3Rinr217.141091	human_skin	finger_tip	NA	Right	Right	M3
M3Rkey217.141025	keyboard	Rkey	Left	NA	Left	M3
M3Rsft217.140995	keyboard	Right_shift	Right	NA	Right	M3
M3Space217.141098	keyboard	Space_bar	Ambiguous	NA	Ambiguous	M3
M3Thml217.141040	human_skin	finger_tip	NA	Left	Left	M3
M3Thmr217.140996	human_skin	finger_tip	NA	Right	Right	M3
M3Tkey217.141081	keyboard	Tkey	Left	NA	Left	M3
M3Vkey217.141028	keyboard	Vkey	Left	NA	Left	M3
M3Wkey217.141104	keyboard	Wkey	Left	NA	Left	M3
M3Xkey217.141055	keyboard	Xkey	Left	NA	Left	M3
