#OTU ID	Greengenes taxonomy	RDP taxonomy
0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas
1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Saccharopolyspora
10	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
100	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga
1000	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;""Lachnospiraceae"""
1001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;Incertae Sedis XI;Peptoniphilus"
1002	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales"
1003	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;Clostridiaceae;""Clostridiaceae 1"""
1004	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
1005	k__Bacteria	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;""Lachnospiraceae"""
1006	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
1007	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	Root;Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Streptophyta
1008	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus
1009	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	"Root;Bacteria;Firmicutes;""Bacilli"";Bacillales;""Paenibacillaceae"";""Paenibacillaceae 1"";Brevibacillus"
101	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
1010	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Agromyces
1011	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
1012	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium
1013	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae
1014	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae
1015	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
1016	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;Incertae Sedis XI;Anaerococcus"
1017	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium
1018	k__Bacteria;p__Firmicutes	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;""Peptostreptococcaceae"";""Peptostreptococcaceae Incertae Sedis"""
1019	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	"Root;Bacteria;Firmicutes;""Bacilli"";Bacillales;Planococcaceae"
102	k__Bacteria	Root;Bacteria
1020	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales"
1021	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila
1022	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;""Lachnospiraceae"""
1023	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;Incertae Sedis XI;Anaerococcus"
1024	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	"Root;Bacteria;Firmicutes;""Clostridia"";Clostridiales;""Peptostreptococcaceae"";""Peptostreptococcaceae Incertae Sedis"""
1025	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
