#OTU ID	Consensus Lineage
0	Bacteria; Actinobacteria; Actinobacteridae; Propionibacterineae; Propionibacterium
1	Bacteria; Firmicutes; Alicyclobacillaceae; Bacilli; Lactobacillales; Lactobacillales; Streptococcaceae; Streptococcus
2	Bacteria; Actinobacteria; Actinobacteridae; Gordoniaceae; Corynebacteriaceae
3	Bacteria; Firmicutes; Alicyclobacillaceae; Bacilli; Staphylococcaceae
4	Bacteria; Cyanobacteria; Chloroplasts; vectors
5	Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacterium_rectale
6	Bacteria; Firmicutes; Alicyclobacillaceae; Bacilli; Lactobacillales; Lactobacillales; Streptococcaceae; Streptococcus
7	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellaceae
8	Bacteria; Firmicutes; Clostridia; Peptostreptococcaceae; Peptoniphilus; Finegoldia
9	Bacteria; Firmicutes; Acidaminococcaceae; Dialister; Veillonella
10	Bacteria; Firmicutes; Clostridia; Faecalibacterium
11	Bacteria; Actinobacteria; Actinobacteridae
12	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadaceae
13	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellaceae
14	Bacteria; Actinobacteria; Actinobacteridae; Gordoniaceae
15	Bacteria; Actinobacteria; Actinobacteridae
16	Bacteria; Firmicutes; Clostridia; Peptostreptococcaceae; Peptostreptococcus_anaerobius; Clostridium_bifermentans
17	Bacteria; Actinobacteria; Coriobacteridae; Coriobacteriales; Collinsella; Collinsella_aerofaciens; LC83; L517
18	Bacteria; Firmicutes; Clostridia; Peptostreptococcaceae; Peptoniphilus; Anaerococcus
19	Bacteria; Firmicutes; Clostridia; Peptostreptococcaceae; Peptoniphilus; Peptoniphilus_indolicus
20	Bacteria; Bacteroidetes; Bacteroidales; Bacteroidaceae; Prevotellaceae
21	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteria; Burkholderiales; Janthinobacterium
22	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales
23	Bacteria; Actinobacteria; Actinobacteridae
24	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteria; Neisseriales
25	Bacteria; Fusobacteria; Fusobacterales; Fusobacteriaceae; Fusobacterium
26	Bacteria; Firmicutes; Alicyclobacillaceae; Bacilli; Lactobacillales; Lactobacillales
27	Bacteria; Firmicutes; Alicyclobacillaceae; Bacilli; Lactobacillales; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis
28	Bacteria; Firmicutes; Alicyclobacillaceae; Alicyclobacillus; Bacillales
29	Bacteria; Firmicutes; Clostridia; Peptostreptococcaceae; Peptostreptococcus_anaerobius; Clostridium_bifermentans
30	Bacteria; Firmicutes; Alicyclobacillaceae; Bacilli; Lactobacillales; Lactobacillales; Aerococcaceae; Turicibacter; Gemella
31	Bacteria; Actinobacteria; Actinobacteridae; Gordoniaceae; Corynebacteriaceae
32	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteria; Neisseriales
33	Bacteria; Firmicutes; Clostridia; Clostridiaceae; Clostridium; Clostridium_quinii
34	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonas
