#SampleID	Digit	Hand	Keysize	Key	Source	Individual	Spacebar	SpacebarSex	Typingdigit	Handkey	TypingHand	TypingHandSource	TypingHandIndiv	TypingHandSourceIndiv	UseFreq	Description
NFkeyRightShift	NA	NA	Medium	RightShift	Key	NF	NA	NA	Pi	Right	PiRight	PiRightKey	PiRightNF	PiRightKeyNF	NA	"Noahf.key, shift-right"
DMkeySpace	NA	NA	Large	Space	Key	DM	Private	Male	Th	Mixed	ThMixed	ThMixedKey	ThMixedDM	ThMixedKeyDM	NA	"Danielm.key, spacebar"
RKMiddleR	Middle	Right	NA	NA	Fing	RK	NA	NA	Mi	Right	MiRight	MiRightFing	MiRightRK	MiRightFingRK	NA	Robk.middle-right
DMThumbR	Thumb	Right	NA	NA	Fing	DM	NA	NA	Th	Right	ThRight	ThRightFing	ThRightDM	ThRightFingDM	NA	Danielm.thumb-right
NTC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Notemplatecontrol
DMThumbL	Thumb	Left	NA	NA	Fing	DM	NA	NA	Th	Left	ThLeft	ThLeftFing	ThLeftDM	ThLeftFingDM	NA	Danielm.thumb-left
RKMiddleL	Middle	Left	NA	NA	Fing	RK	NA	NA	Mi	Left	MiLeft	MiLeftFing	MiLeftRK	MiLeftFingRK	NA	Robk.middle-left
NTC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Notemplatecontrol
RKkeyA	NA	NA	Small	A	Key	RK	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftRK	PiLeftKeyRK	7plus	"Robk.key, a"
DMkeyLeftShift	NA	NA	Medium	LeftShift	Key	DM	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftDM	PiLeftKeyDM	NA	"Danielm.key, shift-left"
RKkeySpace	NA	NA	Large	Space	Key	RK	Private	Male	Th	Mixed	ThMixed	ThMixedKey	ThMixedRK	ThMixedKeyRK	NA	"Robk.key, spacebar"
NFMiddleL	Middle	Left	NA	NA	Fing	NF	NA	NA	Mi	Left	MiLeft	MiLeftFing	MiLeftNF	MiLeftFingNF	NA	Noahf.middle-left
NFkeyLeftShift	NA	NA	Medium	LeftShift	Key	NF	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftNF	PiLeftKeyNF	NA	"Noahf.key, shift-left"
RKRingR	Ring	Right	NA	NA	Fing	RK	NA	NA	Ri	Right	RiRight	RiRightFing	RiRightRK	RiRightFingRK	NA	Robk.ring-right
NTC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Notemplatecontrol
RKRingL	Ring	Left	NA	NA	Fing	RK	NA	NA	Ri	Left	RiLeft	RiLeftFing	RiLeftRK	RiLeftFingRK	NA	Robk.ring-left
Ramaley1Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Ramaley, public keyboard spacebar"
NFMiddleR	Middle	Right	NA	NA	Fing	NF	NA	NA	Mi	Right	MiRight	MiRightFing	MiRightNF	MiRightFingNF	NA	Noahf.middle-right
DMRingR	Ring	Right	NA	NA	Fing	DM	NA	NA	Ri	Right	RiRight	RiRightFing	RiRightDM	RiRightFingDM	NA	Danielm.ring-right
DMkeyM	NA	NA	Small	M	Key	DM	NA	NA	In	Right	InRight	InRightKey	InRightDM	InRightKeyDM	2to6	"Danielm.key, m"
DMkeyN	NA	NA	Small	N	Key	DM	NA	NA	In	Right	InRight	InRightKey	InRightDM	InRightKeyDM	6to7	"Danielm.key, n"
DMkeyO	NA	NA	Small	O	Key	DM	NA	NA	Ri	Right	RiRight	RiRightKey	RiRightDM	RiRightKeyDM	7plus	"Danielm.key, o"
DMkeyH	NA	NA	Small	H	Key	DM	NA	NA	In	Right	InRight	InRightKey	InRightDM	InRightKeyDM	6to7	"Danielm.key, h"
DMkeyI	NA	NA	Small	I	Key	DM	NA	NA	Mi	Right	MiRight	MiRightKey	MiRightDM	MiRightKeyDM	6to7	"Danielm.key, i"
DMkeyJ	NA	NA	Small	J	Key	DM	NA	NA	In	Right	InRight	InRightKey	InRightDM	InRightKeyDM	1minus	"Danielm.key, j"
DMkeyK	NA	NA	Small	K	Key	DM	NA	NA	Mi	Right	MiRight	MiRightKey	MiRightDM	MiRightKeyDM	1minus	"Danielm.key, k"
DMkeyD	NA	NA	Small	D	Key	DM	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftDM	MiLeftKeyDM	2to6	"Danielm.key, d"
NFPinkyR	Pinky	Right	NA	NA	Fing	NF	NA	NA	Pi	Right	PiRight	PiRightFing	PiRightNF	PiRightFingNF	NA	Noahf.pinky-right
DMkeyF	NA	NA	Small	F	Key	DM	NA	NA	In	Left	InLeft	InLeftKey	InLeftDM	InLeftKeyDM	2to6	"Danielm.key, f"
DMkeyG	NA	NA	Small	G	Key	DM	NA	NA	In	Left	InLeft	InLeftKey	InLeftDM	InLeftKeyDM	2to6	"Danielm.key, g"
DMkeyA	NA	NA	Small	A	Key	DM	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftDM	PiLeftKeyDM	7plus	"Danielm.key, a"
DMkeyB	NA	NA	Small	B	Key	DM	NA	NA	In	Left	InLeft	InLeftKey	InLeftDM	InLeftKeyDM	1to2	"Danielm.key, b"
DMkeyC	NA	NA	Small	C	Key	DM	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftDM	MiLeftKeyDM	2to6	"Danielm.key, c"
DMkeyX	NA	NA	Small	X	Key	DM	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftDM	RiLeftKeyDM	1minus	"Danielm.key, x"
DMkeyY	NA	NA	Small	Y	Key	DM	NA	NA	In	Right	InRight	InRightKey	InRightDM	InRightKeyDM	1to2	"Danielm.key, y"
DMkeyZ	NA	NA	Small	Z	Key	DM	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftDM	PiLeftKeyDM	1minus	"Danielm.key, z"
NFPinkyL	Pinky	Left	NA	NA	Fing	NF	NA	NA	Pi	Left	PiLeft	PiLeftFing	PiLeftNF	PiLeftFingNF	NA	Noahf.pinky-left
DMkeyT	NA	NA	Small	T	Key	DM	NA	NA	In	Left	InLeft	InLeftKey	InLeftDM	InLeftKeyDM	7plus	"Danielm.key, t"
DMkeyU	NA	NA	Small	U	Key	DM	NA	NA	In	Right	InRight	InRightKey	InRightDM	InRightKeyDM	2to6	"Danielm.key, u"
DMkeyV	NA	NA	Small	V	Key	DM	NA	NA	In	Left	InLeft	InLeftKey	InLeftDM	InLeftKeyDM	1to2	"Danielm.key, v"
DMkeyW	NA	NA	Small	W	Key	DM	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftDM	RiLeftKeyDM	2to6	"Danielm.key, w"
DMkeyP	NA	NA	Small	P	Key	DM	NA	NA	Pi	Right	PiRight	PiRightKey	PiRightDM	PiRightKeyDM	1to2	"Danielm.key, p"
DMkeyQ	NA	NA	Small	Q	Key	DM	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftDM	PiLeftKeyDM	1minus	"Danielm.key, q"
DMRingL	Ring	Left	NA	NA	Fing	DM	NA	NA	Ri	Left	RiLeft	RiLeftFing	RiLeftDM	RiLeftFingDM	NA	Danielm.ring-left
DMkeyS	NA	NA	Small	S	Key	DM	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftDM	RiLeftKeyDM	6to7	"Danielm.key, s"
Library4Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Library, public keyboard spacebar"
Ramaley2Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Ramaley, public keyboard spacebar"
UMC2Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Umc, public keyboard spacebar"
UMC1Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Umc, public keyboard spacebar"
Female1Space	NA	NA	Large	Space	Key	NA	Private	Female	NA	NA	NA	NA	NA	NA	NA	"Female, personal keyboard spacebar"
Female4Space	NA	NA	Large	Space	Key	NA	Private	Female	NA	NA	NA	NA	NA	NA	NA	"Female, personal keyboard spacebar"
RKkeyRightShift	NA	NA	Medium	RightShift	Key	RK	NA	NA	Pi	Right	PiRight	PiRightKey	PiRightRK	PiRightKeyRK	NA	"Robk.key, shift-right"
NFkeyE	NA	NA	Small	E	Key	NF	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftNF	MiLeftKeyNF	7plus	"Noahf.key, e"
NFkeyD	NA	NA	Small	D	Key	NF	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftNF	MiLeftKeyNF	2to6	"Noahf.key, d"
NFkeyG	NA	NA	Small	G	Key	NF	NA	NA	In	Left	InLeft	InLeftKey	InLeftNF	InLeftKeyNF	2to6	"Noahf.key, g"
NFkeyF	NA	NA	Small	F	Key	NF	NA	NA	In	Left	InLeft	InLeftKey	InLeftNF	InLeftKeyNF	2to6	"Noahf.key, f"
NFkeyA	NA	NA	Small	A	Key	NF	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftNF	PiLeftKeyNF	7plus	"Noahf.key, a"
